# code|name|province|latitude|longitude|official_name|content_status
4114|商丘|河南省|34.4371|115.6505|商丘市|curated
4115|信阳|河南省|32.1233|114.0750|信阳市|curated
4116|周口|河南省|33.6347|114.7012|周口市|curated
4117|驻马店|河南省|32.9802|114.0247|驻马店市|curated
4201|武汉|湖北省|30.5844|114.2986|武汉市|lookup
4202|黄石|湖北省|30.2201|115.0770|黄石市|lookup
4203|十堰|湖北省|32.6469|110.7879|十堰市|lookup
4205|宜昌|湖北省|30.7026|111.2908|宜昌市|lookup
4206|襄阳|湖北省|32.0424|112.1442|襄阳市|lookup
4207|鄂州|湖北省|30.3965|114.8906|鄂州市|lookup
4208|荆门|湖北省|31.0354|112.2043|荆门市|lookup
4209|孝感|湖北省|30.9264|113.9267|孝感市|lookup
4210|荆州|湖北省|30.3269|112.2381|荆州市|lookup
4211|黄冈|湖北省|30.4477|114.8794|黄冈市|lookup
4212|咸宁|湖北省|29.8328|114.3290|咸宁市|lookup
4213|随州|湖北省|31.7175|113.3738|随州市|lookup
4228|恩施土家族苗族自治州|湖北省|30.2831|109.4870|恩施土家族苗族自治州|lookup
4301|长沙|湖南省|28.2283|112.9389|长沙市|lookup
4302|株洲|湖南省|27.8358|113.1517|株洲市|lookup
4303|湘潭|湖南省|27.8297|112.9441|湘潭市|lookup
4304|衡阳|湖南省|26.9004|112.6077|衡阳市|lookup
4305|邵阳|湖南省|27.2378|111.4692|邵阳市|lookup
4306|岳阳|湖南省|29.3703|113.1329|岳阳市|lookup
4307|常德|湖南省|29.0402|111.6913|常德市|lookup
4308|张家界|湖南省|29.1274|110.4799|张家界市|lookup
4309|益阳|湖南省|28.5701|112.3550|益阳市|lookup
4310|郴州|湖南省|25.7936|113.0321|郴州市|lookup
4311|永州|湖南省|26.4345|111.6080|永州市|lookup
4312|怀化|湖南省|27.5501|109.9782|怀化市|lookup
4313|娄底|湖南省|27.7281|112.0085|娄底市|lookup
4331|湘西土家族苗族自治州|湖南省|28.3143|109.7397|湘西土家族苗族自治州|lookup
4401|广州|广东省|23.1252|113.2806|广州市|curated
4402|韶关|广东省|24.8013|113.5915|韶关市|lookup
4403|深圳|广东省|22.5470|114.0859|深圳市|lookup
4404|珠海|广东省|22.2716|113.5769|珠海市|lookup
4405|汕头|广东省|23.3710|116.7085|汕头市|lookup
4406|佛山|广东省|23.0288|113.1227|佛山市|lookup
4407|江门|广东省|22.5904|113.0949|江门市|lookup
4408|湛江|广东省|21.2749|110.3650|湛江市|lookup
4409|茂名|广东省|21.6598|110.9192|茂名市|lookup
4412|肇庆|广东省|23.0515|112.4725|肇庆市|lookup
4413|惠州|广东省|23.0794|114.4126|惠州市|lookup
4414|梅州|广东省|24.2991|116.1176|梅州市|lookup
4415|汕尾|广东省|22.7745|115.3642|汕尾市|lookup
4416|河源|广东省|23.7463|114.6978|河源市|lookup
4417|阳江|广东省|21.8592|111.9751|阳江市|lookup
4418|清远|广东省|23.6850|113.0512|清远市|lookup
4419|东莞|广东省|23.0462|113.7463|东莞市|lookup
4420|中山|广东省|22.5211|113.3824|中山市|lookup
4451|潮州|广东省|23.6617|116.6323|潮州市|lookup
4452|揭阳|广东省|23.5438|116.3557|揭阳市|lookup
4453|云浮|广东省|22.9298|112.0444|云浮市|lookup
4501|南宁|广西壮族自治区|22.8240|108.3200|南宁市|lookup
4502|柳州|广西壮族自治区|24.3146|109.4117|柳州市|lookup
4503|桂林|广西壮族自治区|25.2356|110.1798|桂林市|lookup
4504|梧州|广西壮族自治区|23.4748|111.2976|梧州市|lookup
4505|北海|广西壮族自治区|21.4733|109.1193|北海市|lookup
4506|防城港|广西壮族自治区|21.6867|108.3547|防城港市|lookup
4507|钦州|广西壮族自治区|21.9671|108.6242|钦州市|lookup
4508|贵港|广西壮族自治区|23.0936|109.6021|贵港市|lookup
4509|玉林|广西壮族自治区|22.6314|110.1544|玉林市|lookup
4510|百色|广西壮族自治区|23.8977|106.6163|百色市|lookup
4511|贺州|广西壮族自治区|24.4141|111.5521|贺州市|lookup
4512|河池|广西壮族自治区|24.6959|108.0621|河池市|lookup
4513|来宾|广西壮族自治区|23.7338|109.2298|来宾市|lookup
4514|崇左|广西壮族自治区|22.4041|107.3539|崇左市|lookup
4601|海口|海南省|20.0458|110.1984|海口市|lookup
4602|三亚|海南省|18.2479|109.5083|三亚市|lookup
4603|三沙|海南省|16.8310|112.3488|三沙市|lookup
4604|儋州|海南省|19.5175|109.5768|儋州市|lookup
5001|重庆|重庆市|29.5638|106.5505|重庆市|lookup
5101|成都|四川省|30.5730|104.0663|成都市|curated
5103|自贡|四川省|29.3528|104.7734|自贡市|lookup
5104|攀枝花|四川省|26.5804|101.7160|攀枝花市|lookup
5105|泸州|四川省|28.8891|105.4434|泸州市|lookup
5106|德阳|四川省|31.1280|104.3987|德阳市|lookup
5107|绵阳|四川省|31.4677|104.6791|绵阳市|lookup
5108|广元|四川省|32.4337|105.8298|广元市|lookup
